Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KomutoBiodata,Firefox 57.0,,2017-12-24 15:36:07,2017-12-24 15:57:53,21m - 46.094s,FAILED
,,,,,,
Test Cases/TC001KomutoSignUp-In-Out,Firefox 57.0,,2017-12-24 15:36:08,2017-12-24 15:48:42,12m - 34.115s,FAILED
openBrowser,Firefox 57.0,,2017-12-24 15:36:08,2017-12-24 15:36:14,5.296s,PASSED
navigateToUrl,Firefox 57.0,,2017-12-24 15:36:14,2017-12-24 15:36:21,6.947s,PASSED
click,Firefox 57.0,,2017-12-24 15:36:21,2017-12-24 15:36:21,0.437s,PASSED
doubleClick,Firefox 57.0,,2017-12-24 15:36:21,2017-12-24 15:36:22,0.555s,PASSED
click,Firefox 57.0,,2017-12-24 15:36:22,2017-12-24 15:36:23,1.471s,PASSED
waitForPageLoad,Firefox 57.0,,2017-12-24 15:36:23,2017-12-24 15:36:23,0.065s,PASSED
setText,Firefox 57.0,,2017-12-24 15:36:23,2017-12-24 15:36:54,31.052s,FAILED
setText,Firefox 57.0,,2017-12-24 15:36:54,2017-12-24 15:36:54,0.188s,PASSED
setText,Firefox 57.0,,2017-12-24 15:36:54,2017-12-24 15:36:55,0.151s,PASSED
setText,Firefox 57.0,,2017-12-24 15:36:55,2017-12-24 15:36:55,0.099s,PASSED
setText,Firefox 57.0,,2017-12-24 15:36:55,2017-12-24 15:37:26,30.842s,FAILED
selectOptionByLabel,Firefox 57.0,,2017-12-24 15:37:26,2017-12-24 15:37:56,30.725s,FAILED
click,Firefox 57.0,,2017-12-24 15:37:56,2017-12-24 15:37:56,0.257s,PASSED
setText,Firefox 57.0,,2017-12-24 15:37:56,2017-12-24 15:38:27,30.705s,FAILED
setText,Firefox 57.0,,2017-12-24 15:38:27,2017-12-24 15:38:27,0.103s,PASSED
click,Firefox 57.0,,2017-12-24 15:38:27,2017-12-24 15:38:58,30.674s,FAILED
click,Firefox 57.0,,2017-12-24 15:38:58,2017-12-24 15:39:29,30.584s,FAILED
click,Firefox 57.0,,2017-12-24 15:39:29,2017-12-24 15:39:59,30.576s,FAILED
closeBrowser,Firefox 57.0,,2017-12-24 15:39:59,2017-12-24 15:39:59,0.347s,PASSED
openBrowser,Firefox 57.0,,2017-12-24 15:39:59,2017-12-24 15:40:02,2.661s,PASSED
setText,Firefox 57.0,,2017-12-24 15:40:02,2017-12-24 15:40:33,30.550s,FAILED
setText,Firefox 57.0,,2017-12-24 15:40:33,2017-12-24 15:41:03,30.512s,FAILED
click,Firefox 57.0,,2017-12-24 15:41:03,2017-12-24 15:41:34,30.489s,FAILED
click,Firefox 57.0,,2017-12-24 15:41:34,2017-12-24 15:42:04,30.454s,FAILED
